system:index,buchon_ha,month,nubes_vacios_ha,roi_total_ha,tierra_junco_ha,total_visible_ha,water_ha,year,.geo
53,7.0,6,1652.0,2184.0,0,532.0,525.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,7,2184.0,2184.0,0,0.0,0.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,151.0,8,106.0,2184.0,0,2078.0,1927.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,196.0,9,19.0,2184.0,0,2165.0,1969.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,171.0,10,167.0,2184.0,0,2017.0,1846.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,430.0,11,65.0,2184.0,0,2119.0,1689.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,243.0,12,10.0,2184.0,0,2174.0,1931.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,289.0,1,9.0,2184.0,0,2175.0,1886.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,40.0,2,64.0,2184.0,0,2120.0,2080.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,118.0,3,12.0,2184.0,0,2172.0,2054.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,65.0,4,148.0,2184.0,0,2036.0,1971.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0,5,1540.0,2184.0,0,644.0,644.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,78.0,6,72.0,2184.0,0,2112.0,2034.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,122.0,7,420.0,2184.0,0,1764.0,1642.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,91.0,8,1045.0,2184.0,0,1139.0,1048.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,25.0,9,315.0,2184.0,0,1869.0,1844.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0,10,13.0,2184.0,0,2171.0,2171.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,18.0,11,15.0,2184.0,0,2169.0,2151.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,82.0,12,11.0,2184.0,0,2173.0,2091.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,199.0,1,9.0,2184.0,0,2175.0,1976.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,129.0,2,9.0,2184.0,0,2175.0,2046.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,40.0,3,35.0,2184.0,0,2149.0,2109.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0,4,2012.0,2184.0,0,172.0,172.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,344.0,5,9.0,2184.0,0,2175.0,1831.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,168.0,6,82.0,2184.0,0,2102.0,1934.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.0,7,1969.0,2184.0,0,215.0,215.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0,8,2125.0,2184.0,0,59.0,59.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,40.0,9,414.0,2184.0,0,1770.0,1730.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,80.0,10,372.0,2184.0,0,1812.0,1732.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,36.0,11,9.0,2184.0,0,2175.0,2139.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,1.0,12,9.0,2184.0,0,2175.0,2174.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,651.0,1,9.0,2184.0,0,2175.0,1524.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,546.0,2,9.0,2184.0,0,2175.0,1629.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,465.0,3,419.0,2184.0,0,1765.0,1300.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,231.0,4,1357.0,2184.0,0,827.0,596.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,403.0,5,9.0,2184.0,0,2175.0,1772.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,250.0,6,9.0,2184.0,0,2175.0,1925.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0,7,2184.0,2184.0,0,0,0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,271.0,8,244.0,2184.0,0,1940.0,1669.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,258.0,9,158.0,2184.0,0,2026.0,1768.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,101.0,10,1019.0,2184.0,0,1165.0,1064.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,70.0,11,201.0,2184.0,0,1983.0,1913.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,511.0,12,23.0,2184.0,0,2161.0,1650.0,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,457.0,1,10.0,2184.0,0,2174.0,1717.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,398.0,2,9.0,2184.0,0,2175.0,1777.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,253.0,3,9.0,2184.0,0,2175.0,1922.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,113.0,4,9.0,2184.0,0,2175.0,2062.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0,5,1392.0,2184.0,0,792.0,792.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.0,6,1927.0,2184.0,0,257.0,257.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,23.0,7,196.0,2184.0,0,1988.0,1965.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,191.0,8,465.0,2184.0,0,1719.0,1528.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,105.0,9,19.0,2184.0,0,2165.0,2060.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.0,10,1120.0,2184.0,0,1064.0,1064.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,244.0,11,66.0,2184.0,0,2118.0,1874.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,261.0,12,10.0,2184.0,0,2174.0,1913.0,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,645.0,1,9.0,2184.0,0,2175.0,1530.0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,335.0,2,283.0,2184.0,0,1901.0,1566.0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,0,3,1191.0,2184.0,0,993.0,993.0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,246.0,4,138.0,2184.0,0,2046.0,1800.0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,0,5,2184.0,2184.0,0,0,0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0.0,6,1256.0,2184.0,0,928.0,928.0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,269.0,7,10.0,2184.0,0,2174.0,1905.0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,32.0,8,9.0,2184.0,0,2175.0,2143.0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,175.0,9,922.0,2184.0,0,1262.0,1087.0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,127.0,10,932.0,2184.0,0,1252.0,1125.0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,156.0,11,19.0,2184.0,0,2165.0,2009.0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,448.0,12,9.0,2184.0,0,2175.0,1727.0,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
